For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.161ms



For N = 50 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.12%      44.000us         3.26%      46.000us       3.067us            15            --  
              aten::as_strided         0.71%      10.000us         0.71%      10.000us       0.278us            36            --  
                  aten::select         2.56%      36.000us         2.56%      36.000us       3.000us            12            --  
                   aten::clamp         2.20%      31.000us         4.19%      59.000us      29.500us             2            --  
                      aten::to         0.35%       5.000us         2.27%      32.000us       6.400us             5            --  
                aten::_to_copy         1.21%      17.000us         1.92%      27.000us       5.400us             5            --  
           aten::empty_strided         0.35%       5.000us         0.35%       5.000us       1.000us             5            --  
                   aten::copy_         0.35%       5.000us         0.35%       5.000us       1.000us             5            --  
                    aten::item         0.14%       2.000us         0.14%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         1.70%      24.000us         1.99%      28.000us      28.000us             1         2.500  
                     aten::sub         0.50%       7.000us         0.50%       7.000us       3.500us             2            --  
                     aten::min         0.57%       8.000us         0.64%       9.000us       9.000us             1            --  
                   aten::empty         0.92%      13.000us         0.92%      13.000us       1.000us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.57%       8.000us         3.55%      50.000us      12.500us             4            --  
        aten::reflection_pad2d         2.56%      36.000us         2.98%      42.000us      10.500us             4            --  
                 aten::resize_         0.28%       4.000us         0.28%       4.000us       0.800us             5            --  
                  aten::conv2d         1.56%      22.000us        78.07%       1.100ms     275.000us             4            --  
               aten::unsqueeze         1.35%      19.000us         1.63%      23.000us       4.600us             5            --  
             aten::convolution         2.41%      34.000us        71.82%       1.012ms     253.000us             4            --  
            aten::_convolution         2.13%      30.000us        69.41%     978.000us     244.500us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.21%       3.000us         8.16%     115.000us     115.000us             1            --  
    aten::_slow_conv2d_forward         7.74%     109.000us         7.95%     112.000us     112.000us             1            --  
                    aten::view         0.07%       1.000us         0.07%       1.000us       1.000us             1            --  
                 aten::squeeze         2.98%      42.000us         3.26%      46.000us      11.500us             4            --  
                    aten::relu         1.49%      21.000us         2.70%      38.000us       9.500us             4            --  
               aten::clamp_min         1.21%      17.000us         1.21%      17.000us       4.250us             4            --  
      aten::mkldnn_convolution        58.20%     820.000us        59.12%     833.000us     277.667us             3            --  
             aten::as_strided_         0.35%       5.000us         0.35%       5.000us       1.667us             3            --  
                     aten::add         0.64%       9.000us         0.64%       9.000us       9.000us             1         2.500  
                     aten::cat         1.35%      19.000us         1.85%      26.000us      26.000us             1            --  
                  aten::narrow         0.21%       3.000us         0.43%       6.000us       1.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.409ms



For N = 60 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         5.49%     181.000us         6.25%     206.000us      13.733us            15            --  
              aten::as_strided         1.21%      40.000us         1.21%      40.000us       1.111us            36            --  
                  aten::select         1.34%      44.000us         1.46%      48.000us       4.000us            12            --  
                   aten::clamp         1.91%      63.000us         3.82%     126.000us      63.000us             2            --  
                      aten::to         0.61%      20.000us         2.22%      73.000us      14.600us             5            --  
                aten::_to_copy         1.09%      36.000us         1.70%      56.000us      11.200us             5            --  
           aten::empty_strided         0.27%       9.000us         0.27%       9.000us       1.800us             5            --  
                   aten::copy_         0.33%      11.000us         0.33%      11.000us       2.200us             5            --  
                    aten::item         0.73%      24.000us         0.73%      24.000us      24.000us             1            --  
     aten::_local_scalar_dense         0.06%       2.000us         0.06%       2.000us       2.000us             1            --  
                     aten::mul         1.34%      44.000us         1.73%      57.000us      57.000us             1         3.600  
                     aten::sub         1.70%      56.000us         1.70%      56.000us      28.000us             2            --  
                     aten::min         2.37%      78.000us         2.49%      82.000us      82.000us             1            --  
                   aten::empty         0.88%      29.000us         0.88%      29.000us       2.231us            13            --  
                   aten::fill_         0.06%       2.000us         0.06%       2.000us       2.000us             1            --  
                     aten::pad         2.85%      94.000us         5.68%     187.000us      46.750us             4            --  
        aten::reflection_pad2d         3.07%     101.000us         3.76%     124.000us      31.000us             4            --  
                 aten::resize_         1.34%      44.000us         1.34%      44.000us       8.800us             5            --  
                  aten::conv2d         2.61%      86.000us        69.17%       2.279ms     569.750us             4            --  
               aten::unsqueeze         0.91%      30.000us         1.09%      36.000us       7.200us             5            --  
             aten::convolution         2.55%      84.000us        64.46%       2.124ms     531.000us             4            --  
            aten::_convolution         4.55%     150.000us        61.91%       2.040ms     510.000us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.67%      22.000us        10.56%     348.000us     348.000us             1            --  
    aten::_slow_conv2d_forward         8.95%     295.000us         9.89%     326.000us     326.000us             1            --  
                    aten::view         0.06%       2.000us         0.06%       2.000us       2.000us             1            --  
                 aten::squeeze         1.46%      48.000us         1.61%      53.000us      13.250us             4            --  
                    aten::relu         1.43%      47.000us         3.16%     104.000us      26.000us             4            --  
               aten::clamp_min         1.73%      57.000us         1.73%      57.000us      14.250us             4            --  
      aten::mkldnn_convolution        45.95%       1.514ms        46.80%       1.542ms     514.000us             3            --  
             aten::as_strided_         0.27%       9.000us         0.27%       9.000us       3.000us             3            --  
                     aten::add         0.70%      23.000us         0.70%      23.000us      23.000us             1         3.600  
                     aten::cat         1.31%      43.000us         1.76%      58.000us      58.000us             1            --  
                  aten::narrow         0.21%       7.000us         0.46%      15.000us       3.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.295ms



For N = 70 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.14%      76.000us         1.22%      81.000us       5.400us            15            --  
              aten::as_strided         0.32%      21.000us         0.32%      21.000us       0.583us            36            --  
                  aten::select         0.77%      51.000us         0.83%      55.000us       4.583us            12            --  
                   aten::clamp         1.26%      84.000us         2.21%     147.000us      73.500us             2            --  
                      aten::to         0.33%      22.000us         1.01%      67.000us      13.400us             5            --  
                aten::_to_copy         0.45%      30.000us         0.72%      48.000us       9.600us             5            --  
           aten::empty_strided         0.15%      10.000us         0.15%      10.000us       2.000us             5            --  
                   aten::copy_         0.12%       8.000us         0.12%       8.000us       1.600us             5            --  
                    aten::item         0.38%      25.000us         0.39%      26.000us      26.000us             1            --  
     aten::_local_scalar_dense         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                     aten::mul        15.52%       1.034ms        15.63%       1.041ms       1.041ms             1         4.900  
                     aten::sub         8.92%     594.000us         8.92%     594.000us     297.000us             2            --  
                     aten::min         0.89%      59.000us         0.93%      62.000us      62.000us             1            --  
                   aten::empty         0.56%      37.000us         0.56%      37.000us       2.846us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.51%      34.000us         3.11%     207.000us      51.750us             4            --  
        aten::reflection_pad2d         2.18%     145.000us         2.60%     173.000us      43.250us             4            --  
                 aten::resize_         0.51%      34.000us         0.51%      34.000us       6.800us             5            --  
