For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::min         0.08%      45.000us         0.09%      51.000us      51.000us             1            --  
                   aten::empty         1.63%     926.000us         1.63%     926.000us      71.231us            13            --  
                   aten::fill_         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::pad         0.77%     435.000us         4.31%       2.441ms     610.250us             4            --  
        aten::reflection_pad2d         1.23%     695.000us         3.54%       2.006ms     501.500us             4            --  
                 aten::resize_         1.50%     847.000us         1.50%     847.000us     169.400us             5            --  
                  aten::conv2d         0.90%     512.000us        65.96%      37.360ms       9.340ms             4            --  
               aten::unsqueeze         0.79%     445.000us         0.81%     457.000us      91.400us             5            --  
             aten::convolution         5.48%       3.105ms        60.66%      34.360ms       8.590ms             4            --  
            aten::_convolution         6.41%       3.633ms        55.18%      31.255ms       7.814ms             4            --  
       aten::_nnpack_available         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
             aten::thnn_conv2d         0.05%      26.000us         8.08%       4.579ms       4.579ms             1            --  
    aten::_slow_conv2d_forward         7.31%       4.140ms         8.04%       4.553ms       4.553ms             1            --  
                    aten::view         0.01%       5.000us         0.01%       5.000us       5.000us             1            --  
                 aten::squeeze         2.81%       1.594ms         3.59%       2.036ms     509.000us             4            --  
                    aten::relu         0.13%      72.000us         0.37%     212.000us      53.000us             4            --  
               aten::clamp_min         0.25%     140.000us         0.25%     140.000us      35.000us             4            --  
      aten::mkldnn_convolution        40.57%      22.982ms        40.68%      23.042ms       7.681ms             3            --  
             aten::as_strided_         0.02%      11.000us         0.02%      11.000us       3.667us             3            --  
                     aten::add         0.74%     421.000us         0.74%     421.000us     421.000us             1        10.000  
                     aten::cat         0.09%      51.000us         0.13%      74.000us      74.000us             1            --  
                  aten::narrow         0.01%       7.000us         0.04%      21.000us       5.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 56.644ms



For N = 10 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.37%     105.000us         1.74%     494.000us      32.933us            15            --  
              aten::as_strided         1.43%     405.000us         1.43%     405.000us      11.250us            36            --  
                  aten::select         1.72%     488.000us         1.74%     492.000us      41.000us            12            --  
                   aten::clamp         1.73%     489.000us         1.92%     544.000us     272.000us             2            --  
                      aten::to         0.06%      18.000us         0.24%      68.000us      13.600us             5            --  
                aten::_to_copy         0.10%      29.000us         0.19%      53.000us      10.600us             5            --  
           aten::empty_strided         0.04%      12.000us         0.04%      12.000us       2.400us             5            --  
                   aten::copy_         0.04%      12.000us         0.04%      12.000us       2.400us             5            --  
                    aten::item         0.07%      20.000us         0.07%      21.000us      21.000us             1            --  
     aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::mul         2.47%     700.000us         2.53%     716.000us     716.000us             1       100.000  
                     aten::sub         0.09%      25.000us         0.09%      25.000us      12.500us             2            --  
                     aten::min         0.12%      35.000us         0.13%      38.000us      38.000us             1            --  
                   aten::empty         2.17%     615.000us         2.17%     615.000us      47.308us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         5.08%       1.440ms         5.26%       1.490ms     372.500us             4            --  
        aten::reflection_pad2d         3.48%     985.000us         3.62%       1.026ms     256.500us             4            --  
                 aten::resize_         0.13%      38.000us         0.13%      38.000us       7.600us             5            --  
                  aten::conv2d         0.22%      62.000us        82.61%      23.415ms       5.854ms             4            --  
               aten::unsqueeze         0.12%      33.000us         0.14%      39.000us       7.800us             5            --  
             aten::convolution         5.05%       1.431ms        82.12%      23.275ms       5.819ms             4            --  
            aten::_convolution         0.46%     131.000us        77.07%      21.844ms       5.461ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.06%      17.000us         7.66%       2.170ms       2.170ms             1            --  
    aten::_slow_conv2d_forward         7.52%       2.132ms         7.60%       2.153ms       2.153ms             1            --  
                    aten::view         0.01%       4.000us         0.01%       4.000us       4.000us             1            --  
                 aten::squeeze         0.13%      38.000us         0.16%      44.000us      11.000us             4            --  
                    aten::relu         0.12%      33.000us         0.22%      63.000us      15.750us             4            --  
               aten::clamp_min         0.11%      30.000us         0.11%      30.000us       7.500us             4            --  
      aten::mkldnn_convolution        66.82%      18.940ms        68.95%      19.543ms       6.514ms             3            --  
             aten::as_strided_         0.04%      11.000us         0.04%      11.000us       3.667us             3            --  
                     aten::add         0.10%      27.000us         0.10%      27.000us      27.000us             1       100.000  
                     aten::cat         0.12%      33.000us         0.16%      45.000us      45.000us             1            --  
                  aten::narrow         0.02%       5.000us         0.04%      11.000us       2.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.344ms



For N = 20 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.74%      46.000us         0.79%      49.000us       3.267us            15            --  
              aten::as_strided         0.21%      13.000us         0.21%      13.000us       0.361us            36            --  
                  aten::select         0.57%      35.000us         0.58%      36.000us       3.000us            12            --  
                   aten::clamp         0.37%      23.000us         0.79%      49.000us      24.500us             2            --  
                      aten::to         0.13%       8.000us         0.66%      41.000us       8.200us             5            --  
                aten::_to_copy         0.29%      18.000us         0.53%      33.000us       6.600us             5            --  
           aten::empty_strided         0.15%       9.000us         0.15%       9.000us       1.800us             5            --  
                   aten::copy_         0.10%       6.000us         0.10%       6.000us       1.200us             5            --  
                    aten::item         0.05%       3.000us         0.06%       4.000us       4.000us             1            --  
     aten::_local_scalar_dense         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                     aten::mul        24.77%       1.532ms        25.01%       1.547ms       1.547ms             1       400.000  
                     aten::sub         0.16%      10.000us         0.16%      10.000us       5.000us             2            --  
                     aten::min         0.13%       8.000us         0.16%      10.000us      10.000us             1            --  
                   aten::empty         0.29%      18.000us         0.29%      18.000us       1.385us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.16%      10.000us         0.71%      44.000us      11.000us             4            --  
        aten::reflection_pad2d         0.45%      28.000us         0.55%      34.000us       8.500us             4            --  
                 aten::resize_         0.06%       4.000us         0.06%       4.000us       0.800us             5            --  
                  aten::conv2d         0.40%      25.000us        70.54%       4.363ms       1.091ms             4            --  
               aten::unsqueeze         0.34%      21.000us         0.42%      26.000us       5.200us             5            --  
             aten::convolution         0.89%      55.000us        69.30%       4.286ms       1.071ms             4            --  
            aten::_convolution         0.52%      32.000us        68.41%       4.231ms       1.058ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.05%       3.000us         1.55%      96.000us      96.000us             1            --  
    aten::_slow_conv2d_forward         1.44%      89.000us         1.50%      93.000us      93.000us             1            --  
                    aten::view         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                 aten::squeeze         0.42%      26.000us         0.49%      30.000us       7.500us             4            --  
                    aten::relu         0.36%      22.000us         0.61%      38.000us       9.500us             4            --  
               aten::clamp_min         0.26%      16.000us         0.26%      16.000us       4.000us             4            --  
      aten::mkldnn_convolution        66.05%       4.085ms        66.34%       4.103ms       1.368ms             3            --  
             aten::as_strided_         0.11%       7.000us         0.11%       7.000us       2.333us             3            --  
                     aten::add         0.15%       9.000us         0.15%       9.000us       9.000us             1       400.000  
                     aten::cat         0.27%      17.000us         0.44%      27.000us      27.000us             1            --  
                  aten::narrow         0.08%       5.000us         0.15%       9.000us       2.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.185ms



For N = 30 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.28%      63.000us         1.36%      67.000us       4.467us            15            --  
              aten::as_strided         0.37%      18.000us         0.37%      18.000us       0.500us            36            --  
                  aten::select         0.69%      34.000us         0.71%      35.000us       2.917us            12            --  
                   aten::clamp         0.87%      43.000us         1.81%      89.000us      44.500us             2            --  
                      aten::to         0.31%      15.000us         1.06%      52.000us      10.400us             5            --  
                aten::_to_copy         0.49%      24.000us         0.75%      37.000us       7.400us             5            --  
           aten::empty_strided         0.14%       7.000us         0.14%       7.000us       1.400us             5            --  
                   aten::copy_         0.12%       6.000us         0.12%       6.000us       1.200us             5            --  
                    aten::item         0.37%      18.000us         0.39%      19.000us      19.000us             1            --  
     aten::_local_scalar_dense         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                     aten::mul        11.80%     580.000us        11.92%     586.000us     586.000us             1       900.000  
                     aten::sub         0.51%      25.000us         0.51%      25.000us      12.500us             2            --  
                     aten::min         0.75%      37.000us         0.79%      39.000us      39.000us             1            --  
                   aten::empty         1.00%      49.000us         1.00%      49.000us       3.769us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.63%      31.000us         4.11%     202.000us      50.500us             4            --  
        aten::reflection_pad2d         2.79%     137.000us         3.48%     171.000us      42.750us             4            --  
                 aten::resize_         0.26%      13.000us         0.26%      13.000us       2.600us             5            --  
                  aten::conv2d         1.34%      66.000us        75.61%       3.716ms     929.000us             4            --  
               aten::unsqueeze         0.59%      29.000us         0.71%      35.000us       7.000us             5            --  
             aten::convolution         1.22%      60.000us        72.72%       3.574ms     893.500us             4            --  
            aten::_convolution         2.01%      99.000us        71.50%       3.514ms     878.500us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.39%      19.000us         5.41%     266.000us     266.000us             1            --  
    aten::_slow_conv2d_forward         4.72%     232.000us         5.03%     247.000us     247.000us             1            --  
                    aten::view         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                 aten::squeeze         0.77%      38.000us         0.92%      45.000us      11.250us             4            --  
                    aten::relu         0.90%      44.000us         1.67%      82.000us      20.500us             4            --  
               aten::clamp_min         0.77%      38.000us         0.77%      38.000us       9.500us             4            --  
      aten::mkldnn_convolution        63.64%       3.128ms        64.07%       3.149ms       1.050ms             3            --  
             aten::as_strided_         0.18%       9.000us         0.18%       9.000us       3.000us             3            --  
                     aten::add         0.33%      16.000us         0.33%      16.000us      16.000us             1       900.000  
                     aten::cat         0.61%      30.000us         0.81%      40.000us      40.000us             1            --  
                  aten::narrow         0.10%       5.000us         0.20%      10.000us       2.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.915ms



For N = 40 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.28%      38.000us         3.36%      39.000us       2.600us            15            --  
              aten::as_strided         0.78%       9.000us         0.78%       9.000us       0.250us            36            --  
                  aten::select         2.59%      30.000us         2.59%      30.000us       2.500us            12            --  
                   aten::clamp         1.98%      23.000us         4.22%      49.000us      24.500us             2            --  
                      aten::to         0.60%       7.000us         2.41%      28.000us       5.600us             5            --  
                aten::_to_copy         1.29%      15.000us         1.98%      23.000us       4.600us             5            --  
           aten::empty_strided         0.34%       4.000us         0.34%       4.000us       0.800us             5            --  
                   aten::copy_         0.34%       4.000us         0.34%       4.000us       0.800us             5            --  
                    aten::item         0.17%       2.000us         0.17%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         2.67%      31.000us         3.02%      35.000us      35.000us             1         1.600  
                     aten::sub         0.60%       7.000us         0.60%       7.000us       3.500us             2            --  
                     aten::min         0.52%       6.000us         0.69%       8.000us       8.000us             1            --  
                   aten::empty         2.50%      29.000us         2.50%      29.000us       2.231us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.78%       9.000us         5.95%      69.000us      17.250us             4            --  
        aten::reflection_pad2d         3.62%      42.000us         5.17%      60.000us      15.000us             4            --  
                 aten::resize_         1.29%      15.000us         1.29%      15.000us       3.000us             5            --  
                  aten::conv2d         1.98%      23.000us        73.71%     855.000us     213.750us             4            --  
               aten::unsqueeze         1.72%      20.000us         2.07%      24.000us       4.800us             5            --  
             aten::convolution         2.93%      34.000us        67.84%     787.000us     196.750us             4            --  
            aten::_convolution         2.84%      33.000us        64.91%     753.000us     188.250us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.26%       3.000us         7.16%      83.000us      83.000us             1            --  
    aten::_slow_conv2d_forward         6.21%      72.000us         6.90%      80.000us      80.000us             1            --  
                    aten::view         0.09%       1.000us         0.09%       1.000us       1.000us             1            --  
                 aten::squeeze         1.72%      20.000us         2.07%      24.000us       6.000us             4            --  
                    aten::relu         1.72%      20.000us         3.10%      36.000us       9.000us             4            --  
               aten::clamp_min         1.38%      16.000us         1.38%      16.000us       4.000us             4            --  
      aten::mkldnn_convolution        53.02%     615.000us        54.91%     637.000us     212.333us             3            --  
             aten::as_strided_         0.43%       5.000us         0.43%       5.000us       1.667us             3            --  
                     aten::add         0.52%       6.000us         0.52%       6.000us       6.000us             1         1.600  
                     aten::cat         1.55%      18.000us         2.16%      25.000us      25.000us             1            --  
                  aten::narrow         0.26%       3.000us         0.52%       6.000us       1.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.160ms



For N = 50 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.58%      42.000us         1.62%      43.000us       2.867us            15            --  
              aten::as_strided         0.34%       9.000us         0.34%       9.000us       0.250us            36            --  
                  aten::select         1.06%      28.000us         1.06%      28.000us       2.333us            12            --  
                   aten::clamp         0.98%      26.000us         1.88%      50.000us      25.000us             2            --  
                      aten::to         0.30%       8.000us         0.94%      25.000us       5.000us             5            --  
                aten::_to_copy         0.57%      15.000us         0.83%      22.000us       4.400us             5            --  
           aten::empty_strided         0.11%       3.000us         0.11%       3.000us       0.600us             5            --  
                   aten::copy_         0.15%       4.000us         0.15%       4.000us       0.800us             5            --  
                    aten::item         0.11%       3.000us         0.11%       3.000us       3.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul        36.98%     981.000us        37.20%     987.000us     987.000us             1         2.500  
                     aten::sub         0.83%      22.000us         0.83%      22.000us      11.000us             2            --  
                     aten::min         0.38%      10.000us         0.45%      12.000us      12.000us             1            --  
                   aten::empty         0.75%      20.000us         0.75%      20.000us       1.538us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.30%       8.000us         3.09%      82.000us      20.500us             4            --  
        aten::reflection_pad2d         1.92%      51.000us         2.79%      74.000us      18.500us             4            --  
                 aten::resize_         1.58%      42.000us         1.58%      42.000us       8.400us             5            --  
                  aten::conv2d         1.39%      37.000us        50.81%       1.348ms     337.000us             4            --  
               aten::unsqueeze         0.68%      18.000us         0.83%      22.000us       4.400us             5            --  
             aten::convolution         1.36%      36.000us        47.76%       1.267ms     316.750us             4            --  
            aten::_convolution         1.32%      35.000us        46.40%       1.231ms     307.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.11%       3.000us         5.77%     153.000us     153.000us             1            --  
    aten::_slow_conv2d_forward         4.37%     116.000us         5.65%     150.000us     150.000us             1            --  
                    aten::view         0.04%       1.000us         0.04%       1.000us       1.000us             1            --  
                 aten::squeeze         0.79%      21.000us         0.94%      25.000us       6.250us             4            --  
                    aten::relu         0.75%      20.000us         1.81%      48.000us      12.000us             4            --  
               aten::clamp_min         1.06%      28.000us         1.06%      28.000us       7.000us             4            --  
      aten::mkldnn_convolution        39.01%       1.035ms        39.31%       1.043ms     347.667us             3            --  
             aten::as_strided_         0.15%       4.000us         0.15%       4.000us       1.333us             3            --  
                     aten::add         0.26%       7.000us         0.26%       7.000us       7.000us             1         2.500  
                     aten::cat         0.64%      17.000us         0.94%      25.000us      25.000us             1            --  
                  aten::narrow         0.11%       3.000us         0.26%       7.000us       1.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.653ms



For N = 60 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.59%     109.000us         1.80%     123.000us       8.200us            15            --  
              aten::as_strided         0.80%      55.000us         0.80%      55.000us       1.528us            36            --  
                  aten::select         1.81%     124.000us         1.91%     131.000us      10.917us            12            --  
                   aten::clamp         1.14%      78.000us         2.09%     143.000us      71.500us             2            --  
                      aten::to         0.28%      19.000us         1.18%      81.000us      16.200us             5            --  
                aten::_to_copy         0.48%      33.000us         0.91%      62.000us      12.400us             5            --  
           aten::empty_strided         0.29%      20.000us         0.29%      20.000us       4.000us             5            --  
                   aten::copy_         0.13%       9.000us         0.13%       9.000us       1.800us             5            --  
                    aten::item         0.28%      19.000us         0.29%      20.000us      20.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul         1.05%      72.000us         1.28%      88.000us      88.000us             1         3.600  
                     aten::sub         0.77%      53.000us         0.77%      53.000us      26.500us             2            --  
                     aten::min         0.88%      60.000us         0.92%      63.000us      63.000us             1            --  
                   aten::empty         0.88%      60.000us         0.88%      60.000us       4.615us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.50%      34.000us         2.91%     199.000us      49.750us             4            --  
        aten::reflection_pad2d         1.84%     126.000us         2.41%     165.000us      41.250us             4            --  
                 aten::resize_         1.08%      74.000us         1.08%      74.000us      14.800us             5            --  
                  aten::conv2d         1.78%     122.000us        75.53%       5.174ms       1.294ms             4            --  
               aten::unsqueeze         0.51%      35.000us         0.89%      61.000us      12.200us             5            --  
             aten::convolution         2.64%     181.000us        72.45%       4.963ms       1.241ms             4            --  
            aten::_convolution         3.53%     242.000us        69.81%       4.782ms       1.196ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.31%      21.000us        10.18%     697.000us     697.000us             1            --  
    aten::_slow_conv2d_forward         9.09%     623.000us         9.87%     676.000us     676.000us             1            --  
                    aten::view         0.13%       9.000us         0.13%       9.000us       9.000us             1            --  
                 aten::squeeze         0.77%      53.000us         0.89%      61.000us      15.250us             4            --  
                    aten::relu         0.66%      45.000us        11.11%     761.000us     190.250us             4            --  
               aten::clamp_min        10.45%     716.000us        10.45%     716.000us     179.000us             4            --  
      aten::mkldnn_convolution        55.26%       3.785ms        56.10%       3.843ms       1.281ms             3            --  
             aten::as_strided_         0.15%      10.000us         0.15%      10.000us       3.333us             3            --  
                     aten::add         0.26%      18.000us         0.26%      18.000us      18.000us             1         3.600  
                     aten::cat         0.55%      38.000us         0.79%      54.000us      54.000us             1            --  
                  aten::narrow         0.09%       6.000us         0.23%      16.000us       4.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.850ms



For N = 70 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.76%     166.000us         0.90%     197.000us      13.133us            15            --  
              aten::as_strided         0.22%      49.000us         0.22%      49.000us       1.361us            36            --  
                  aten::select         0.30%      66.000us         0.33%      72.000us       6.000us            12            --  
                   aten::clamp         6.06%       1.332ms         6.36%       1.397ms     698.500us             2            --  
                      aten::to         0.13%      28.000us         0.30%      66.000us      13.200us             5            --  
                aten::_to_copy         0.13%      29.000us         0.22%      48.000us       9.600us             5            --  
           aten::empty_strided         0.04%       9.000us         0.04%       9.000us       1.800us             5            --  
                   aten::copy_         0.05%      10.000us         0.05%      10.000us       2.000us             5            --  
                    aten::item         0.12%      26.000us         0.12%      27.000us      27.000us             1            --  
     aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::mul        11.13%       2.447ms        11.18%       2.458ms       2.458ms             1         4.900  
                     aten::sub         1.85%     407.000us         1.85%     407.000us     203.500us             2            --  
                     aten::min         0.20%      45.000us         0.22%      48.000us      48.000us             1            --  
                   aten::empty         0.18%      40.000us         0.18%      40.000us       3.077us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.15%      32.000us         9.36%       2.057ms     514.250us             4            --  
        aten::reflection_pad2d         6.83%       1.502ms         9.21%       2.025ms     506.250us             4            --  
                 aten::resize_         4.10%     902.000us         4.10%     902.000us     180.400us             5            --  
                  aten::conv2d         0.34%      75.000us        66.60%      14.637ms       3.659ms             4            --  
               aten::unsqueeze         0.16%      36.000us         0.20%      43.000us       8.600us             5            --  
             aten::convolution         4.22%     927.000us        65.96%      14.495ms       3.624ms             4            --  
            aten::_convolution         0.72%     159.000us        61.74%      13.568ms       3.392ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.09%      20.000us         7.78%       1.710ms       1.710ms             1            --  
    aten::_slow_conv2d_forward         5.91%       1.299ms         7.69%       1.690ms       1.690ms             1            --  
                    aten::view         0.01%       3.000us         0.01%       3.000us       3.000us             1            --  
                 aten::squeeze         0.15%      33.000us         0.17%      38.000us       9.500us             4            --  
                    aten::relu         0.33%      73.000us         2.67%     586.000us     146.500us             4            --  
               aten::clamp_min         2.33%     513.000us         2.33%     513.000us     128.250us             4            --  
      aten::mkldnn_convolution        53.07%      11.663ms        53.24%      11.699ms       3.900ms             3            --  
             aten::as_strided_         0.04%       8.000us         0.04%       8.000us       2.667us             3            --  
                     aten::add         0.12%      26.000us         0.12%      26.000us      26.000us             1         4.900  
                     aten::cat         0.20%      44.000us         0.26%      58.000us      58.000us             1            --  
                  aten::narrow         0.03%       6.000us         0.06%      13.000us       3.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.976ms



For N = 80 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.79%     655.000us         4.50%       1.651ms     110.067us            15            --  
              aten::as_strided         2.85%       1.044ms         2.85%       1.044ms      29.000us            36            --  
                  aten::select         8.10%       2.973ms         8.17%       2.999ms     249.917us            12            --  
                   aten::clamp         1.50%     552.000us         1.69%     620.000us     310.000us             2            --  
                      aten::to         0.08%      28.000us         0.25%      93.000us      18.600us             5            --  
                aten::_to_copy         0.08%      30.000us         0.19%      68.000us      13.600us             5            --  
           aten::empty_strided         0.07%      26.000us         0.07%      26.000us       5.200us             5            --  
                   aten::copy_         0.03%      12.000us         0.03%      12.000us       2.400us             5            --  
                    aten::item         0.05%      20.000us         0.05%      20.000us      20.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         8.90%       3.265ms         8.98%       3.293ms       3.293ms             1         6.400  
                     aten::sub         0.15%      55.000us         0.15%      55.000us      27.500us             2            --  
                     aten::min         1.36%     498.000us         1.36%     500.000us     500.000us             1            --  
                   aten::empty         0.22%      81.000us         0.22%      81.000us       6.231us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.09%      33.000us         0.67%     246.000us      61.500us             4            --  
        aten::reflection_pad2d         0.46%     170.000us         0.58%     213.000us      53.250us             4            --  
                 aten::resize_         0.07%      24.000us         0.07%      24.000us       4.800us             5            --  
                  aten::conv2d         3.81%       1.396ms        72.34%      26.538ms       6.635ms             4            --  
               aten::unsqueeze         0.13%      47.000us         0.17%      62.000us      12.400us             5            --  
             aten::convolution         5.53%       2.028ms        68.27%      25.045ms       6.261ms             4            --  
            aten::_convolution         6.97%       2.557ms        62.74%      23.017ms       5.754ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         1.20%     441.000us         7.65%       2.806ms       2.806ms             1            --  
    aten::_slow_conv2d_forward         6.39%       2.343ms         6.45%       2.365ms       2.365ms             1            --  
                    aten::view         0.01%       5.000us         0.01%       5.000us       5.000us             1            --  
                 aten::squeeze         0.10%      37.000us         0.12%      44.000us      11.000us             4            --  
                    aten::relu         0.11%      39.000us         1.70%     624.000us     156.000us             4            --  
               aten::clamp_min         1.59%     585.000us         1.59%     585.000us     146.250us             4            --  
      aten::mkldnn_convolution        47.98%      17.601ms        48.12%      17.654ms       5.885ms             3            --  
             aten::as_strided_         0.03%      10.000us         0.03%      10.000us       3.333us             3            --  
                     aten::add         0.07%      27.000us         0.07%      27.000us      27.000us             1         6.400  
                     aten::cat         0.27%      98.000us         0.31%     112.000us     112.000us             1            --  
                  aten::narrow         0.02%       7.000us         0.04%      13.000us       3.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 36.687ms



For N = 90 | Num optimizer steps = 3

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.47%     742.000us         4.23%       1.267ms      84.467us            15            --  
              aten::as_strided         2.03%     610.000us         2.03%     610.000us      16.944us            36            --  
                  aten::select         0.69%     206.000us         0.73%     219.000us      18.250us            12            --  
                   aten::clamp         0.35%     106.000us         2.14%     643.000us     321.500us             2            --  
                      aten::to         1.61%     482.000us         1.86%     559.000us     111.800us             5            --  
                aten::_to_copy         0.14%      42.000us         0.26%      77.000us      15.400us             5            --  
           aten::empty_strided         0.08%      23.000us         0.08%      23.000us       4.600us             5            --  
                   aten::copy_         0.04%      12.000us         0.04%      12.000us       2.400us             5            --  
