For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         0.00%      31.000us         0.00%      31.000us       7.750us             4            --  
                                             aten::div_         0.00%      32.000us         0.00%      54.000us      10.800us             5            --  
                                        aten::ones_like         0.00%      10.000us         0.00%      20.000us       6.667us             3            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      54.000us         0.01%     268.000us      89.333us             3            --  
                                          MeanBackward0         0.00%      41.000us         0.00%     214.000us      71.333us             3            --  
                                           aten::expand         0.00%      27.000us         0.00%      38.000us      12.667us             3            --  
autograd::engine::evaluate_function: torch::autograd...         2.14%     105.582ms        10.95%     539.851ms      41.655us         12960            --  
                            torch::autograd::CopySlices         3.58%     176.753ms         8.81%     434.269ms      33.508us         12960            --  
                                aten::new_empty_strided         0.47%      22.948ms         0.71%      35.089ms       2.707us         12960            --  
                         torch::autograd::CopyBackwards         0.67%      32.903ms         1.59%      78.203ms       6.041us         12945            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%     148.000us         0.01%     662.000us      44.133us            15            --  
                                     AsStridedBackward0         0.00%     191.000us         0.01%     465.000us      31.000us            15            --  
                                          aten::squeeze         0.00%     104.000us         0.00%     123.000us       6.833us            18            --  
                                        aten::new_zeros         0.00%      76.000us         0.00%     127.000us       8.467us            15            --  
                                        aten::new_empty         0.00%      17.000us         0.00%      45.000us       3.000us            15            --  
                                           AddBackward0         0.26%      13.001ms         0.26%      13.001ms       0.336us         38739            --  
      autograd::engine::evaluate_function: MulBackward0         0.76%      37.691ms         4.92%     242.429ms      18.706us         12960            --  
                                           MulBackward0         1.03%      50.593ms         3.98%     196.188ms      15.138us         12960            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%     166.000us         0.02%       1.020ms      34.000us            30            --  
                                           PowBackward0         0.00%     243.000us         0.02%     854.000us      28.467us            30            --  
      autograd::engine::evaluate_function: SubBackward0         0.77%      37.879ms         0.79%      39.092ms       3.019us         12948            --  
                                           SubBackward0         0.02%       1.193ms         0.02%       1.193ms       0.092us         12948            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      88.000us         0.02%     911.000us      25.306us            36            --  
                                        SelectBackward0         0.00%     235.000us         0.02%     785.000us      21.806us            36            --  
                                  aten::select_backward         0.00%     203.000us         0.01%     588.000us      16.333us            36            --  
    autograd::engine::evaluate_function: SliceBackward0         8.33%     410.764ms        49.30%        2.431s      15.694us        154914            --  
                                         SliceBackward0         7.13%     351.523ms        37.08%        1.829s      11.806us        154914            --  
                                   aten::slice_backward        12.73%     627.785ms        31.93%        1.575s      10.164us        154914            --  
      autograd::engine::evaluate_function: AddBackward0         2.89%     142.653ms         3.16%     155.649ms       4.019us         38727            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                          aten::detach_         0.00%       8.000us         0.00%      11.000us       1.833us             6            --  
                                                detach_         0.00%       3.000us         0.00%       3.000us       0.500us             6            --  
                                           aten::linear         0.00%      50.000us         0.01%     357.000us      59.500us             6            --  
                                                aten::t         0.00%      51.000us         0.00%      77.000us      12.833us             6            --  
                                        aten::transpose         0.00%      83.000us         0.00%     109.000us       6.056us            18            --  
                                           aten::matmul         0.00%      79.000us         0.00%     189.000us      31.500us             6            --  
                                        aten::unsqueeze         0.00%      32.000us         0.00%      36.000us       4.000us             9            --  
                                               aten::mm         0.00%      52.000us         0.00%      52.000us       8.667us             6            --  
                                         aten::squeeze_         0.00%      28.000us         0.00%      40.000us       6.667us             6            --  
                                      aten::as_strided_         0.00%      12.000us         0.00%      12.000us       2.000us             6            --  
                                             aten::rsub         0.00%      74.000us         0.00%     245.000us      16.333us            15            --  
                                             aten::sqrt         0.00%      40.000us         0.00%      40.000us       6.667us             6            --  
                                              aten::cat         0.00%      59.000us         0.00%      59.000us       3.933us            15            --  
                                           aten::conv2d         0.00%      30.000us         0.02%       1.135ms     126.111us             9       648.000  
                                      aten::convolution         0.00%      94.000us         0.02%       1.105ms     122.778us             9            --  
                                     aten::_convolution         0.00%      95.000us         0.02%       1.011ms     112.333us             9            --  
                                aten::_nnpack_available         0.00%       5.000us         0.00%       5.000us       0.556us             9            --  
                                      aten::thnn_conv2d         0.00%      28.000us         0.02%     874.000us      97.111us             9            --  
                             aten::_slow_conv2d_forward         0.01%     689.000us         0.02%     846.000us      94.000us             9            --  
                                             aten::view         0.00%      74.000us         0.00%      74.000us       2.467us            30            --  
                                          aten::resize_         0.00%      22.000us         0.00%      22.000us       1.833us            12            --  
                                          aten::reshape         0.00%      41.000us         0.00%      48.000us       8.000us             6            --  
                                   aten::_reshape_alias         0.00%       7.000us         0.00%       7.000us       1.167us             6            --  
                                             aten::relu         0.00%      85.000us         0.00%     160.000us      10.667us            15            --  
                                        aten::clamp_min         0.00%      75.000us         0.00%      75.000us       5.000us            15            --  
                                          aten::permute         0.00%      82.000us         0.00%      96.000us       8.000us            12            --  
                                             aten::lstm         0.00%     168.000us         0.09%       4.288ms     714.667us             6            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                       aten::contiguous         0.00%      13.000us         0.00%     118.000us      13.111us             9            --  
                                 aten::mkldnn_rnn_layer         0.08%       3.703ms         0.08%       3.811ms     635.167us             6            --  
                                            aten::stack         0.00%      72.000us         0.00%     112.000us       9.333us            12            --  
                                              aten::pad         0.00%      11.000us         0.00%     132.000us      44.000us             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.932s



For N = 60 | Num optimizer steps = 3

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         6.34%     487.466ms         9.91%     761.825ms       3.584us        212559            --  
                                            aten::empty         1.96%     150.763ms         1.96%     150.763ms       0.606us        248853            --  
                                            aten::zero_         1.94%     149.187ms         1.94%     149.187ms       0.648us        230326            --  
                                              aten::add         7.17%     551.659ms         7.19%     553.143ms       7.779us         71103    255888.840  
                                               aten::to         0.99%      75.928ms         3.43%     264.023ms       4.390us         60143            --  
                                         aten::_to_copy         1.53%     117.653ms         2.75%     211.740ms       5.005us         42306            --  
                                    aten::empty_strided         1.03%      79.066ms         1.03%      79.066ms       1.311us         60324            --  
                                            aten::copy_         8.81%     677.830ms         8.81%     677.830ms       2.041us        332098            --  
                                              aten::div         0.00%     175.000us         0.00%     245.000us      12.895us            19            --  
                                            aten::slice        24.01%        1.847s        25.37%        1.951s       3.442us        566886            --  
                                       aten::as_strided         1.81%     139.255ms         1.81%     139.255ms       0.238us        585224            --  
                                           aten::select         0.01%       1.074ms         0.01%       1.142ms       4.739us           241            --  
                                            aten::clone         0.76%      58.166ms         1.56%     119.847ms       6.652us         18017            --  
                                              aten::sub         1.76%     135.564ms         1.77%     135.890ms       5.679us         23928            --  
                                              aten::mul         3.68%     283.286ms         7.45%     572.819ms      13.634us         42015    150698.687  
                                         aten::allclose         0.02%       1.655ms         0.57%      44.010ms     183.375us           240            --  
                                          aten::isclose         0.07%       5.134ms         0.51%      39.204ms     163.350us           240            --  
                                               aten::eq         0.04%       3.130ms         0.04%       3.130ms       6.521us           480            --  
                                              aten::abs         0.10%       8.054ms         0.18%      13.771ms       9.610us          1433            --  
                                         aten::isfinite         0.02%       1.772ms         0.10%       7.516ms      31.317us           240            --  
                                               aten::ne         0.03%       2.101ms         0.04%       3.357ms      13.988us           240            --  
                                               aten::le         0.01%       1.027ms         0.01%       1.027ms       4.279us           240            --  
                                         aten::__iand__         0.01%     584.000us         0.02%       1.761ms       7.338us           240            --  
                                     aten::bitwise_and_         0.02%       1.281ms         0.02%       1.281ms       5.338us           240            --  
                                          aten::__ior__         0.00%     373.000us         0.01%       1.017ms       4.237us           240            --  
                                      aten::bitwise_or_         0.01%     700.000us         0.01%     700.000us       2.917us           240            --  
                                              aten::all         0.03%       2.249ms         0.03%       2.685ms      11.188us           240            --  
                                            aten::fill_         0.00%     128.000us         0.00%     128.000us       0.518us           247            --  
                                             aten::item         0.01%     474.000us         0.01%     477.000us       1.923us           248            --  
                              aten::_local_scalar_dense         0.00%       6.000us         0.00%       6.000us       0.024us           248            --  
                                       aten::zeros_like         0.46%      35.716ms         0.82%      63.198ms       3.561us         17746            --  
                                       aten::empty_like         0.54%      41.830ms         0.69%      53.442ms       1.505us         35518            --  
                                               aten::lt         0.00%     105.000us         0.00%     263.000us      13.150us            20            --  
                                               aten::gt         0.00%     101.000us         0.00%     172.000us       8.600us            20            --  
                                              aten::pow         0.01%     578.000us         0.01%     602.000us       7.341us            82            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            82            --  
                                             aten::add_         1.77%     136.059ms         1.77%     136.059ms       1.919us         70904            --  
                                             aten::mean         0.01%     664.000us         0.01%     766.000us     191.500us             4            --  
                                              aten::sum         0.00%      46.000us         0.00%      46.000us      11.500us             4            --  
                                             aten::div_         0.00%      32.000us         0.00%      56.000us      14.000us             4            --  
                                        aten::ones_like         0.00%      12.000us         0.00%      24.000us       8.000us             3            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      56.000us         0.00%     309.000us     103.000us             3            --  
                                          MeanBackward0         0.00%      79.000us         0.00%     253.000us      84.333us             3            --  
                                           aten::expand         0.00%      28.000us         0.00%      38.000us      12.667us             3            --  
autograd::engine::evaluate_function: torch::autograd...         1.83%     140.941ms         9.71%     747.059ms      42.064us         17760            --  
                            torch::autograd::CopySlices         2.96%     227.414ms         7.88%     606.116ms      34.128us         17760            --  
                                aten::new_empty_strided         0.39%      30.049ms         0.62%      47.999ms       2.703us         17760            --  
                         torch::autograd::CopyBackwards         0.57%      43.792ms         1.39%     107.197ms       6.041us         17745            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      85.000us         0.01%     490.000us      32.667us            15            --  
                                     AsStridedBackward0         0.00%     174.000us         0.00%     361.000us      24.067us            15            --  
                                          aten::squeeze         0.00%      69.000us         0.00%      83.000us       4.611us            18            --  
                                        aten::new_zeros         0.00%      41.000us         0.00%      72.000us       4.800us            15            --  
                                        aten::new_empty         0.00%      17.000us         0.00%      30.000us       2.000us            15            --  
                                           AddBackward0         0.23%      17.541ms         0.23%      17.541ms       0.330us         53139            --  
      autograd::engine::evaluate_function: MulBackward0         0.64%      49.151ms         4.30%     330.709ms      18.621us         17760            --  
                                           MulBackward0         0.91%      69.768ms         3.50%     269.317ms      15.164us         17760            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%     169.000us         0.02%       1.279ms      42.633us            30            --  
                                           PowBackward0         0.00%     222.000us         0.01%       1.110ms      37.000us            30            --  
      autograd::engine::evaluate_function: SubBackward0         0.68%      52.281ms         0.69%      53.370ms       3.007us         17748            --  
                                           SubBackward0         0.01%       1.062ms         0.01%       1.062ms       0.060us         17748            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%     106.000us         0.01%     693.000us      19.250us            36            --  
                                        SelectBackward0         0.00%     118.000us         0.01%     559.000us      15.528us            36            --  
                                  aten::select_backward         0.00%     166.000us         0.01%     469.000us      13.028us            36            --  
    autograd::engine::evaluate_function: SliceBackward0         7.05%     542.488ms        44.39%        3.414s      16.066us        212514            --  
                                         SliceBackward0         6.25%     480.401ms        33.54%        2.580s      12.140us        212514            --  
                                   aten::slice_backward        10.92%     839.529ms        29.09%        2.237s      10.528us        212514            --  
      autograd::engine::evaluate_function: AddBackward0         2.50%     192.551ms         2.73%     210.091ms       3.955us         53127            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                          aten::detach_         0.00%       8.000us         0.00%      13.000us       2.167us             6            --  
                                                detach_         0.00%       5.000us         0.00%       5.000us       0.833us             6            --  
                                           aten::linear         0.00%      59.000us         0.01%     431.000us      71.833us             6            --  
                                                aten::t         0.00%      57.000us         0.00%      87.000us      14.500us             6            --  
                                        aten::transpose         0.00%      81.000us         0.00%     106.000us       5.889us            18            --  
                                           aten::matmul         0.00%     123.000us         0.00%     244.000us      40.667us             6            --  
                                        aten::unsqueeze         0.00%      31.000us         0.00%      34.000us       3.778us             9            --  
                                               aten::mm         0.00%      57.000us         0.00%      57.000us       9.500us             6            --  
                                         aten::squeeze_         0.00%      33.000us         0.00%      45.000us       7.500us             6            --  
                                      aten::as_strided_         0.00%      12.000us         0.00%      12.000us       2.000us             6            --  
                                             aten::rsub         0.00%      77.000us         0.00%     256.000us      17.067us            15            --  
                                             aten::sqrt         0.00%      38.000us         0.00%      38.000us       6.333us             6            --  
                                              aten::cat         0.00%      60.000us         0.00%      60.000us       4.000us            15            --  
                                           aten::conv2d         0.00%      35.000us         0.01%     981.000us     109.000us             9       777.600  
                                      aten::convolution         0.00%     103.000us         0.01%     946.000us     105.111us             9            --  
                                     aten::_convolution         0.00%      97.000us         0.01%     843.000us      93.667us             9            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             9            --  
                                      aten::thnn_conv2d         0.00%      28.000us         0.01%     708.000us      78.667us             9            --  
                             aten::_slow_conv2d_forward         0.01%     557.000us         0.01%     680.000us      75.556us             9            --  
                                             aten::view         0.00%      76.000us         0.00%      76.000us       2.533us            30            --  
                                          aten::resize_         0.00%      14.000us         0.00%      14.000us       1.167us            12            --  
                                          aten::reshape         0.00%      37.000us         0.00%      42.000us       7.000us             6            --  
                                   aten::_reshape_alias         0.00%       6.000us         0.00%       6.000us       1.000us             6            --  
                                             aten::relu         0.00%     125.000us         0.00%     198.000us      13.200us            15            --  
                                        aten::clamp_min         0.00%      73.000us         0.00%      73.000us       4.867us            15            --  
                                          aten::permute         0.00%      76.000us         0.00%      91.000us       7.583us            12            --  
                                             aten::lstm         0.00%     168.000us         0.04%       3.254ms     542.333us             6            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                       aten::contiguous         0.00%      25.000us         0.00%     118.000us      13.111us             9            --  
                                 aten::mkldnn_rnn_layer         0.03%       2.685ms         0.04%       2.780ms     463.333us             6            --  
                                            aten::stack         0.00%      83.000us         0.00%     129.000us      10.750us            12            --  
                                              aten::pad         0.00%      10.000us         0.00%     171.000us      57.000us             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.691s



For N = 70 | Num optimizer steps = 3

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         5.23%     645.150ms         9.15%        1.128s       4.120us        273759            --  
                                            aten::empty         2.23%     274.587ms         2.23%     274.587ms       0.857us        320457            --  
                                            aten::zero_         2.16%     265.650ms         2.16%     265.650ms       0.896us        296626            --  
                                              aten::add         8.05%     992.488ms         8.09%     996.931ms      10.887us         91574    448608.264  
                                               aten::to         0.68%      84.341ms         3.39%     417.448ms       5.397us         77347            --  
                                         aten::_to_copy         1.54%     189.358ms         2.94%     362.929ms       6.670us         54410            --  
                                    aten::empty_strided         1.23%     151.939ms         1.23%     151.939ms       1.958us         77596            --  
                                            aten::copy_         8.82%        1.087s         8.82%        1.087s       2.543us        427570            --  
                                              aten::div         0.00%     168.000us         0.00%     237.000us      12.474us            19            --  
                                            aten::slice        27.19%        3.351s        30.23%        3.727s       5.104us        730086            --  
                                       aten::as_strided         3.53%     434.877ms         3.53%     434.877ms       0.577us        753592            --  
                                           aten::select         0.01%       1.833ms         0.02%       1.928ms       8.000us           241            --  
                                            aten::clone         0.67%      82.860ms         1.43%     175.973ms       7.590us         23185            --  
                                              aten::sub         2.07%     254.517ms         2.07%     254.884ms       8.277us         30796            --  
                                              aten::mul         4.03%     496.310ms         7.64%     941.641ms      17.422us         54049    264096.963  
                                         aten::allclose         0.02%       2.146ms         0.63%      77.224ms     250.727us           308            --  
                                          aten::isclose         0.06%       7.576ms         0.55%      68.100ms     221.104us           308            --  
                                               aten::eq         0.04%       5.418ms         0.04%       5.418ms       8.795us           616            --  
                                              aten::abs         0.09%      11.344ms         0.16%      19.759ms      10.750us          1838            --  
                                         aten::isfinite         0.02%       2.123ms         0.11%      13.709ms      44.510us           308            --  
                                               aten::ne         0.03%       3.453ms         0.05%       6.654ms      21.604us           308            --  
                                               aten::le         0.02%       1.930ms         0.02%       1.930ms       6.266us           308            --  
                                         aten::__iand__         0.01%     843.000us         0.02%       2.807ms       9.114us           308            --  
                                     aten::bitwise_and_         0.02%       2.199ms         0.02%       2.199ms       7.140us           308            --  
                                          aten::__ior__         0.00%     597.000us         0.01%       1.633ms       5.302us           308            --  
                                      aten::bitwise_or_         0.01%       1.120ms         0.01%       1.120ms       3.636us           308            --  
                                              aten::all         0.03%       3.644ms         0.05%       5.813ms      18.873us           308            --  
                                            aten::fill_         0.00%      29.000us         0.00%      29.000us       0.092us           315            --  
                                             aten::item         0.01%       1.179ms         0.01%       1.183ms       3.744us           316            --  
                              aten::_local_scalar_dense         0.00%       5.000us         0.00%       5.000us       0.016us           316            --  
                                       aten::zeros_like         0.41%      50.586ms         0.89%     109.825ms       4.807us         22846            --  
                                       aten::empty_like         0.53%      64.960ms         0.79%      97.318ms       2.129us         45718            --  
                                               aten::lt         0.00%      94.000us         0.00%     177.000us       8.850us            20            --  
                                               aten::gt         0.00%      82.000us         0.00%     200.000us      10.000us            20            --  
                                              aten::pow         0.01%     735.000us         0.01%     849.000us      10.354us            82            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            82            --  
                                             aten::add_         1.64%     201.728ms         1.64%     201.728ms       2.209us         91304            --  
                                             aten::mean         0.01%     757.000us         0.01%     902.000us     180.400us             5            --  
                                              aten::sum         0.00%      47.000us         0.00%      49.000us      12.250us             4            --  
                                             aten::div_         0.00%      39.000us         0.00%      72.000us      18.000us             4            --  
                                        aten::ones_like         0.00%      12.000us         0.00%      25.000us       8.333us             3            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      55.000us         0.00%     277.000us      92.333us             3            --  
                                          MeanBackward0         0.00%      71.000us         0.00%     222.000us      74.000us             3            --  
                                           aten::expand         0.00%      26.000us         0.00%      36.000us      12.000us             3            --  
autograd::engine::evaluate_function: torch::autograd...         1.47%     181.358ms         8.40%        1.036s      45.311us         22860            --  
                            torch::autograd::CopySlices         2.35%     290.066ms         6.93%     854.438ms      37.377us         22860            --  
                                aten::new_empty_strided         0.34%      41.299ms         0.54%      67.059ms       2.933us         22860            --  
                         torch::autograd::CopyBackwards         0.55%      67.680ms         1.44%     177.886ms       7.787us         22845            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      86.000us         0.00%     544.000us      36.267us            15            --  
                                     AsStridedBackward0         0.00%     178.000us         0.00%     395.000us      26.333us            15            --  
                                          aten::squeeze         0.00%      74.000us         0.00%      87.000us       4.833us            18            --  
                                        aten::new_zeros         0.00%      47.000us         0.00%      92.000us       6.133us            15            --  
                                        aten::new_empty         0.00%      16.000us         0.00%      31.000us       2.067us            15            --  
                                           AddBackward0         0.21%      25.610ms         0.21%      25.610ms       0.374us         68439            --  
      autograd::engine::evaluate_function: MulBackward0         0.53%      64.765ms         3.57%     440.259ms      19.259us         22860            --  
                                           MulBackward0         0.72%      89.257ms         2.91%     359.093ms      15.708us         22860            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%     194.000us         0.01%       1.197ms      39.900us            30            --  
                                           PowBackward0         0.00%     251.000us         0.01%       1.003ms      33.433us            30            --  
      autograd::engine::evaluate_function: SubBackward0         0.45%      55.308ms         0.46%      56.482ms       2.472us         22848            --  
                                           SubBackward0         0.01%       1.143ms         0.01%       1.143ms       0.050us         22848            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      98.000us         0.01%     673.000us      18.694us            36            --  
                                        SelectBackward0         0.00%      89.000us         0.00%     568.000us      15.778us            36            --  
                                  aten::select_backward         0.00%     158.000us         0.00%     484.000us      13.444us            36            --  
    autograd::engine::evaluate_function: SliceBackward0         5.45%     671.217ms        38.98%        4.805s      17.554us        273714            --  
                                         SliceBackward0         5.52%     680.280ms        29.87%        3.681s      13.449us        273714            --  
                                   aten::slice_backward         9.75%        1.202s        26.26%        3.237s      11.825us        273714            --  
      autograd::engine::evaluate_function: AddBackward0         2.11%     260.497ms         2.32%     286.104ms       4.181us         68427            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                          aten::detach_         0.00%      11.000us         0.00%      14.000us       2.333us             6            --  
                                                detach_         0.00%       5.000us         0.00%       5.000us       0.833us             6            --  
                                           aten::linear         0.00%     570.000us         0.01%     941.000us     156.833us             6            --  
                                                aten::t         0.00%      73.000us         0.00%     110.000us      18.333us             6            --  
                                        aten::transpose         0.00%     162.000us         0.00%     222.000us      12.333us            18            --  
                                           aten::matmul         0.00%      73.000us         0.00%     201.000us      33.500us             6            --  
                                        aten::unsqueeze         0.00%      33.000us         0.00%      41.000us       4.556us             9            --  
                                               aten::mm         0.00%      60.000us         0.00%      60.000us      10.000us             6            --  
                                         aten::squeeze_         0.00%      30.000us         0.00%      42.000us       7.000us             6            --  
                                      aten::as_strided_         0.00%      12.000us         0.00%      12.000us       2.000us             6            --  
                                             aten::rsub         0.00%     106.000us         0.00%     280.000us      18.667us            15            --  
                                             aten::sqrt         0.00%      38.000us         0.00%      38.000us       6.333us             6            --  
                                              aten::cat         0.00%      81.000us         0.00%      81.000us       5.400us            15            --  
                                           aten::conv2d         0.00%      35.000us         0.02%       2.544ms     282.667us             9       907.200  
                                      aten::convolution         0.00%     154.000us         0.02%       2.509ms     278.778us             9            --  
                                     aten::_convolution         0.00%     101.000us         0.02%       2.355ms     261.667us             9            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             9            --  
                                      aten::thnn_conv2d         0.00%      34.000us         0.02%       2.166ms     240.667us             9            --  
                             aten::_slow_conv2d_forward         0.02%       1.959ms         0.02%       2.132ms     236.889us             9            --  
                                             aten::view         0.00%     220.000us         0.00%     220.000us       7.333us            30            --  
                                          aten::resize_         0.00%      39.000us         0.00%      39.000us       3.250us            12            --  
                                          aten::reshape         0.00%      48.000us         0.00%      61.000us      10.167us             6            --  
                                   aten::_reshape_alias         0.00%      13.000us         0.00%      13.000us       2.167us             6            --  
                                             aten::relu         0.00%      93.000us         0.00%     173.000us      11.533us            15            --  
                                        aten::clamp_min         0.00%      80.000us         0.00%      80.000us       5.333us            15            --  
                                          aten::permute         0.00%     168.000us         0.00%     201.000us      16.750us            12            --  
                                             aten::lstm         0.00%     278.000us         0.12%      14.919ms       2.486ms             6            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                       aten::contiguous         0.00%      13.000us         0.00%     203.000us      22.556us             9            --  
                                 aten::mkldnn_rnn_layer         0.11%      13.943ms         0.11%      14.055ms       2.342ms             6            --  
                                            aten::stack         0.00%     193.000us         0.00%     242.000us      20.167us            12            --  
                                              aten::pad         0.00%      10.000us         0.00%     109.000us      36.333us             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.325s



For N = 80 | Num optimizer steps = 3

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         5.22%     952.867ms        10.60%        1.934s       5.653us        342159            --  
                                            aten::empty         3.20%     584.494ms         3.20%     584.494ms       1.459us        400485            --  
                                            aten::zero_         2.77%     505.528ms         2.77%     505.528ms       1.364us        370726            --  
                                              aten::add         8.32%        1.519s         8.34%        1.522s      13.295us        114454       732.379  
                                               aten::to         0.60%     108.821ms         2.98%     544.317ms       5.636us         96575            --  
                                         aten::_to_copy         1.33%     242.936ms         2.50%     455.530ms       6.705us         67938            --  
                                    aten::empty_strided         1.06%     193.351ms         1.06%     193.351ms       1.995us         96900            --  
                                            aten::copy_         8.89%        1.623s         8.89%        1.623s       3.037us        534274            --  
                                              aten::div         0.00%     168.000us         0.00%     232.000us      12.211us            19            --  
                                            aten::slice        27.78%        5.068s        31.23%        5.698s       6.245us        912486            --  
                                       aten::as_strided         3.97%     724.065ms         3.97%     724.065ms       0.769us        941768            --  
                                           aten::select         0.01%       1.418ms         0.01%       1.562ms       6.481us           241            --  
                                            aten::clone         0.52%      94.040ms         1.27%     232.533ms       8.029us         28961            --  
                                              aten::sub         2.05%     373.567ms         2.05%     373.922ms       9.719us         38472            --  
