For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         1.08%       4.291ms         1.08%       4.291ms       1.063us          4038            --  
                                             aten::mean         0.01%      25.000us         0.03%     113.000us      37.667us             3            --  
                                              aten::sum         0.01%      20.000us         0.01%      21.000us      10.500us             2            --  
                                             aten::div_         0.00%      17.000us         0.01%      28.000us      14.000us             2            --  
                                        aten::ones_like         0.00%       2.000us         0.00%       4.000us       4.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      15.000us         0.02%      68.000us      68.000us             1            --  
                                          MeanBackward0         0.00%      13.000us         0.01%      53.000us      53.000us             1            --  
                                           aten::expand         0.00%       8.000us         0.00%      11.000us      11.000us             1            --  
autograd::engine::evaluate_function: torch::autograd...         1.86%       7.389ms         9.45%      37.576ms      36.839us          1020            --  
                            torch::autograd::CopySlices         2.94%      11.700ms         7.59%      30.187ms      29.595us          1020            --  
                                aten::new_empty_strided         0.81%       3.240ms         1.06%       4.198ms       4.116us          1020            --  
                         torch::autograd::CopyBackwards         0.62%       2.482ms         1.29%       5.132ms       5.056us          1015            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.01%      26.000us         0.04%     147.000us      29.400us             5            --  
                                     AsStridedBackward0         0.01%      53.000us         0.03%     110.000us      22.000us             5            --  
                                          aten::squeeze         0.01%      25.000us         0.01%      28.000us       4.667us             6            --  
                                        aten::new_zeros         0.00%      12.000us         0.01%      22.000us       4.400us             5            --  
                                        aten::new_empty         0.00%       6.000us         0.00%      10.000us       2.000us             5            --  
                                           AddBackward0         0.07%     278.000us         0.07%     278.000us       0.092us          3013            --  
      autograd::engine::evaluate_function: MulBackward0         0.61%       2.422ms         4.33%      17.220ms      16.882us          1020            --  
                                           MulBackward0         1.27%       5.037ms         3.55%      14.124ms      13.847us          1020            --  
      autograd::engine::evaluate_function: PowBackward0         0.02%      97.000us         0.12%     490.000us      49.000us            10            --  
                                           PowBackward0         0.03%     110.000us         0.10%     393.000us      39.300us            10            --  
      autograd::engine::evaluate_function: SubBackward0         0.57%       2.254ms         0.57%       2.274ms       2.238us          1016            --  
                                           SubBackward0         0.00%      10.000us         0.00%      10.000us       0.010us          1016            --  
autograd::engine::evaluate_function: SelectBackward0...         0.01%      30.000us         0.05%     189.000us      15.750us            12            --  
                                        SelectBackward0         0.01%      27.000us         0.04%     159.000us      13.250us            12            --  
                                  aten::select_backward         0.01%      53.000us         0.03%     132.000us      11.000us            12            --  
    autograd::engine::evaluate_function: SliceBackward0         7.15%      28.446ms        38.65%     153.682ms      12.766us         12038            --  
                                         SliceBackward0         5.82%      23.125ms        29.18%     116.022ms       9.638us         12038            --  
                                   aten::slice_backward        11.53%      45.836ms        24.57%      97.688ms       8.115us         12038            --  
      autograd::engine::evaluate_function: AddBackward0         2.36%       9.375ms         2.43%       9.653ms       3.208us          3009            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                          aten::detach_         0.00%       3.000us         0.00%       4.000us       2.000us             2            --  
                                                detach_         0.00%       1.000us         0.00%       1.000us       0.500us             2            --  
                                           aten::linear         0.00%      10.000us         0.03%     122.000us      61.000us             2            --  
                                                aten::t         0.00%      13.000us         0.01%      20.000us      10.000us             2            --  
                                        aten::transpose         0.01%      27.000us         0.01%      33.000us       5.500us             6            --  
                                           aten::matmul         0.01%      44.000us         0.02%      80.000us      40.000us             2            --  
                                        aten::unsqueeze         0.00%       9.000us         0.00%      11.000us       3.667us             3            --  
                                               aten::mm         0.00%      16.000us         0.00%      16.000us       8.000us             2            --  
                                         aten::squeeze_         0.00%      10.000us         0.00%      13.000us       6.500us             2            --  
                                      aten::as_strided_         0.00%       3.000us         0.00%       3.000us       1.500us             2            --  
                                             aten::rsub         0.01%      22.000us         0.02%      62.000us      12.400us             5            --  
                                             aten::sqrt         0.00%      10.000us         0.00%      10.000us       5.000us             2            --  
                                              aten::cat         0.00%      19.000us         0.00%      19.000us       3.800us             5            --  
                                           aten::conv2d         0.00%      11.000us         0.07%     291.000us      97.000us             3        86.400  
                                      aten::convolution         0.01%      33.000us         0.07%     280.000us      93.333us             3            --  
                                     aten::_convolution         0.01%      33.000us         0.06%     247.000us      82.333us             3            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             3            --  
                                      aten::thnn_conv2d         0.00%      14.000us         0.05%     201.000us      67.000us             3            --  
                             aten::_slow_conv2d_forward         0.04%     155.000us         0.05%     187.000us      62.333us             3            --  
                                             aten::view         0.01%      26.000us         0.01%      26.000us       2.600us            10            --  
                                          aten::resize_         0.00%      14.000us         0.00%      14.000us       3.500us             4            --  
                                          aten::reshape         0.00%       9.000us         0.00%      11.000us       5.500us             2            --  
                                   aten::_reshape_alias         0.00%       2.000us         0.00%       2.000us       1.000us             2            --  
                                             aten::relu         0.01%      33.000us         0.01%      56.000us      11.200us             5            --  
                                        aten::clamp_min         0.01%      23.000us         0.01%      23.000us       4.600us             5            --  
                                          aten::permute         0.01%      29.000us         0.01%      34.000us       8.500us             4            --  
                                             aten::lstm         0.02%      62.000us         0.26%       1.040ms     520.000us             2            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                       aten::contiguous         0.00%       6.000us         0.01%      39.000us      13.000us             3            --  
                                 aten::mkldnn_rnn_layer         0.21%     854.000us         0.22%     872.000us     436.000us             2            --  
                                            aten::stack         0.01%      29.000us         0.01%      44.000us      11.000us             4            --  
                                              aten::pad         0.00%       3.000us         0.01%      43.000us      43.000us             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 397.606ms



For N = 30 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         7.28%      49.949ms         7.58%      52.006ms       2.275us         22857            --  
                                            aten::empty         0.34%       2.341ms         0.34%       2.341ms       0.087us         26835            --  
                                            aten::zero_         0.01%      62.000us         0.01%      62.000us       0.003us         24782            --  
                                              aten::add         6.30%      43.249ms         6.33%      43.426ms       3.787us         11467     10311.320  
                                               aten::to         1.49%      10.219ms         4.55%      31.207ms       3.952us          7897            --  
                                         aten::_to_copy         2.38%      16.361ms         3.59%      24.645ms       4.146us          5944            --  
                                    aten::empty_strided         1.03%       7.089ms         1.03%       7.089ms       0.896us          7914            --  
                                            aten::copy_         5.74%      39.376ms         5.74%      39.376ms       1.024us         38446            --  
                                              aten::div         0.01%      69.000us         0.01%      95.000us      13.571us             7            --  
                                            aten::slice        27.60%     189.453ms        28.33%     194.461ms       2.430us         80024            --  
                                       aten::as_strided         1.09%       7.501ms         1.09%       7.501ms       0.091us         82124            --  
                                           aten::select         0.06%     381.000us         0.06%     393.000us       3.673us           107            --  
                                            aten::clone         0.77%       5.296ms         1.42%       9.773ms       4.968us          1967            --  
                                              aten::sub         1.68%      11.536ms         1.70%      11.664ms       3.006us          3880            --  
                                              aten::mul         3.56%      24.420ms         8.66%      59.458ms      10.127us          5871      5229.393  
                                         aten::allclose         0.04%     263.000us         0.61%       4.215ms     105.375us            40            --  
