i,cost,numIterations,objectiveScaled,objectiveUnscaled,dualInfeasibilityScaled,dualInfeasibilityUnscaled,constraintViolationScaled,constraintViolationUnscaled,variableBoundViolationScaled,variableBoundViolationUnscaled,complementarityScaled,complementarityUnscaled,overallNLPErrorScaled,overallNLPErrorUnscaled,numObjectiveFunctionEvals,numObjectiveGradientEvals,numEqualityConstraintEvals,numInequalityConstraintEvals,numEqualityConstraintJacobianEvals,numInequalityConstraintJacobianEvals,numLagrangianHessianEvals,totalSeconds,convergedToOptimalFlag
10,0.16619694232940674,52,0.5857291326161342,0.5857291326161342,0.0018813290727317565,0.0018813290727317565,0.1701686664664867,0.1701686664664867,5.079128140295097e-08,5.079128140295097e-08,6.601985790909283e-09,6.601985790909283e-09,0.1701686664664867,0.1701686664664867,62,25,62,0,57,0,53,0.112,0
11,0.18471349775791168,139,0.09756984200480724,0.09756984200480724,0.000354410800525784,0.000354410800525784,0.03764003949607529,0.03764003949607529,9.991390381713927e-09,9.991390381713927e-09,2.766928562343798e-09,2.766928562343798e-09,0.03764003949607529,0.03764003949607529,168,58,168,0,147,0,140,0.708,0
12,0.16157566010951996,53,0.49997765791388726,0.49997765791388726,0.001002051787563818,0.001002051787563818,0.028108359404061173,0.028108359404061173,4.6079327020720484e-08,4.6079327020720484e-08,2.917555433987632e-09,2.917555433987632e-09,0.028108359404061173,0.028108359404061173,87,28,87,0,61,0,54,0.205,0
13,0.1443275511264801,63,0.08771087154655845,0.08771087154655845,0.0015388861517884257,0.0015388861517884257,0.07755431898892086,0.07755431898892086,9.998949224154785e-09,9.998949224154785e-09,1.1831190266969536e-09,1.1831190266969536e-09,0.07755431898892086,0.07755431898892086,87,31,87,0,70,0,64,0.097,0
14,0.13667114078998566,72,0.5542777967591791,0.5542777967591791,0.001783842911369881,0.001783842911369881,0.11572580210516373,0.11572580210516373,5.6320121011310675e-08,5.6320121011310675e-08,5.3272283657601485e-09,5.3272283657601485e-09,0.11572580210516373,0.11572580210516373,111,45,111,0,81,0,73,0.134,0
15,0.14507776498794556,73,0.15678467619474584,0.15678467619474584,0.0003921251848287812,0.0003921251848287812,0.03584370369436469,0.03584370369436469,2.0389532284781353e-08,2.0389532284781353e-08,1.1760873157188065e-09,1.1760873157188065e-09,0.03584370369436469,0.03584370369436469,121,46,121,0,84,0,74,0.233,0
16,0.19350692629814148,14,0.12483878185461249,0.12483878185461249,9.0939636358371e-15,9.0939636358371e-15,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,1.7731485984787662e-09,1.7731485984787662e-09,1.7731485984787662e-09,1.7731485984787662e-09,15,15,15,0,15,0,14,0.031,1
17,0.14520162343978882,15,0.266564284519178,0.266564284519178,2.506723531031886e-14,2.506723531031886e-14,5.663438468195281e-15,5.663438468195281e-15,0.0,0.0,6.560296298278437e-09,6.560296298278437e-09,6.560296298278437e-09,6.560296298278437e-09,16,16,16,0,16,0,15,0.179,1
18,0.16718371212482452,17,0.09901504117951303,0.09901504117951303,9.107774807895054e-15,9.107774807895054e-15,1.021101606046848e-15,1.021101606046848e-15,0.0,0.0,1.0187602001353654e-09,1.0187602001353654e-09,1.0187602001353654e-09,1.0187602001353654e-09,18,18,18,0,18,0,17,0.187,1
19,0.018652597442269325,29,0.05596963611893864,0.05596963611893864,2.506328478091291e-14,2.506328478091291e-14,2.6346112791397758e-15,2.6346112791397758e-15,0.0,0.0,5.445248593602804e-09,5.445248593602804e-09,5.445248593602804e-09,5.445248593602804e-09,30,30,30,0,30,0,29,0.174,1
