i,costIPOPT,minNetCost,minNetCostIndex,maxNetCost,maxNetCostIndex
91,0.1831563413143158,15.14150619506836,99,38950.96875,0
92,0.1064231470227241,0.09071080386638641,5,29172.3359375,0
93,0.0480156950652599,0.11211834102869034,14,2881.576416015625,0
94,0.0212920121848583,0.039976686239242554,99,781.0799560546875,5
95,0.1232095062732696,156.30792236328125,98,17519.052734375,0
96,0.1430000960826873,2427.3544921875,97,12756.8271484375,0
97,0.0253713522106409,0.16546358168125153,89,726.0986938476562,3
98,0.1174095496535301,0.11056087911128998,20,0.9928783774375916,85
99,0.1483083367347717,334.98089599609375,98,154872.15625,0
100,0.0957624018192291,0.1304088532924652,12,58860.8125,0
101,0.1472674906253814,0.20958247780799866,99,24673.515625,0
102,0.0923650190234184,7518.849609375,96,209678.671875,0
103,0.1588194519281387,0.2146662026643753,99,595.2618408203125,3
104,0.1358530223369598,1715.55078125,98,7769.1337890625,0
105,0.0619836412370204,236.10581970214844,96,179019.25,0
106,0.1374203562736511,0.12083907425403595,6,11448.4013671875,0
107,0.196114495396614,126.63470458984375,97,113922.71875,0
108,0.1233260631561279,95.14913940429688,97,133999.34375,0
109,0.130410298705101,0.2586580812931061,5,1348.802978515625,0
110,0.1855191737413406,0.20104137063026428,99,114.57775115966797,2
111,0.1297142505645752,0.14264777302742004,99,1853.9735107421875,0
112,0.191667839884758,0.37522026896476746,8,337.4681091308594,6
113,0.1765297502279281,0.22378231585025787,99,881.8379516601562,2
114,0.1694474965333938,1493.1552734375,98,8958.689453125,0
115,0.184136763215065,0.28414103388786316,9,33583.05078125,0
116,0.1219256445765495,0.12803800404071808,10,62817.1328125,0
117,0.1492499262094497,0.12296101450920105,99,6.513641834259033,7
118,0.0467896088957786,0.1246924102306366,31,503.8578796386719,4
119,0.0589327663183212,0.0644843801856041,22,2086.136474609375,0
120,0.1901444196701049,0.1644044816493988,31,110604.078125,0
121,0.0832053273916244,0.2451200932264328,12,2775.731689453125,0
122,0.1418377459049224,3497.25,98,14044.759765625,0
123,0.1825077533721923,0.2655063271522522,9,479.2437744140625,5
124,0.1336354315280914,0.1307235062122345,13,110831.1015625,0
125,0.0261991173028945,0.06352083384990692,9,4084.4833984375,0
126,0.1050913706421852,0.1750982105731964,10,62.919803619384766,2
127,0.1870778650045395,0.17034603655338287,99,193624.734375,0
128,0.1702887266874313,186.2289581298828,99,1128.5750732421875,1
129,0.1234476044774055,1644.6771240234375,95,290292.25,0
130,0.1440692543983459,0.1507491171360016,99,116654.3515625,0
131,0.1027601063251495,0.14939819276332855,12,7968.943359375,0
132,0.1768907010555267,0.34778404235839844,9,119.73076629638672,10
133,0.1995205581188202,0.26043900847435,31,235.8255157470703,10
134,0.0932443812489509,0.137405663728714,11,94.73870849609375,1
135,0.180120438337326,1393.7618408203125,98,8735.8642578125,0
136,0.1477845162153244,2237.18896484375,95,6751.693359375,0
137,0.106977567076683,0.1046142429113388,44,107599.203125,0
138,0.1530208140611648,1428.207763671875,99,16797.78515625,0
139,0.1078793406486511,124.22478485107422,99,3579.616943359375,1
140,0.1079427227377891,0.13428233563899994,9,898.5826416015625,1
141,0.1785387098789215,4682.7802734375,99,93143.171875,0
142,0.0225236341357231,0.07276590913534164,99,41.69261932373047,8
143,0.1137926653027534,0.12131141126155853,97,1768.83056640625,1
144,0.1488271504640579,0.12922441959381104,16,18062.59765625,0
145,0.106815792620182,0.1929282546043396,10,9.731067657470703,6
146,0.1339987516403198,0.22002127766609192,99,4.055387496948242,0
147,0.1215221285820007,0.12319660931825638,44,177046.734375,0
148,0.1360723227262497,0.11484314501285553,99,4965.9521484375,0
149,0.1799643635749817,0.23558154702186584,12,177320.28125,0
150,0.128572791814804,0.14681504666805267,33,3643.76171875,0
151,0.1220810487866401,1899.7216796875,96,6719.54248046875,0
152,0.167714387178421,0.1904221922159195,99,1699.1805419921875,2
153,0.0468793995678424,0.11032256484031677,9,4679.9765625,0
154,0.1182361245155334,0.23366212844848633,8,139.48199462890625,9
155,0.0914167836308479,0.10570330917835236,27,888.4555053710938,1
156,0.1414430439472198,1704.5118408203125,97,148375.140625,0
157,0.0596974454820156,0.29020026326179504,9,270.80535888671875,1
158,0.1099025830626487,0.4602489769458771,99,71.53495025634766,4
159,0.1215293407440185,0.26159903407096863,2,32387.857421875,0
160,0.1421623826026916,4365.345703125,94,12870.564453125,0
161,0.0640964806079864,0.07946175336837769,99,636.3070678710938,2
162,0.1550046652555465,0.17249523103237152,96,912.24072265625,0
163,0.1237072125077247,644.8125,94,1862.567626953125,2
164,0.162519633769989,720.0492553710938,97,54258.64453125,0
165,0.160942792892456,1065.50146484375,97,1823.4652099609375,1
166,0.0325346924364566,0.08285584300756454,99,5095.16796875,0
167,0.1806092709302902,0.1897803395986557,99,730.1180419921875,2
168,0.175561711192131,2345.33642578125,96,497959.65625,0
169,0.1467531621456146,0.16166450083255768,9,2386.3037109375,1
170,0.1682815998792648,0.23063504695892334,16,34.68416976928711,0
171,0.044765681028366,3668.351318359375,99,40955.125,0
172,0.1936251819133758,0.24164855480194092,59,390.7801818847656,16
173,0.1155266687273979,0.1473887711763382,99,665.887939453125,1
174,0.1079589053988456,0.11828567087650299,9,1064.341796875,1
175,0.0710462108254432,0.07226543128490448,35,504.970703125,4
176,0.1170407682657241,4366.78955078125,99,41317.87109375,0
177,0.1301359087228775,0.1634828895330429,10,90.95316314697266,5
178,0.1710227280855178,0.23893478512763977,99,329.4761657714844,2
179,0.1162944659590721,0.1338392049074173,98,2526.451904296875,0
180,0.089437298476696,0.10096582770347595,99,129.2256622314453,4
181,0.1959425956010818,0.21065765619277954,12,28459.107421875,0
182,0.1234918981790542,0.1258750706911087,8,1675.6470947265625,0
183,0.1520817130804062,1773.33544921875,99,14142.02734375,0
184,0.1008728593587875,0.1740896999835968,1,65.84929656982422,2
185,0.192666471004486,0.20053303241729736,99,670.0252685546875,3
186,0.1354819387197494,11.534581184387207,98,2155.185546875,1
187,0.1391838937997818,0.15912093222141266,34,3591.213623046875,1
188,0.0822780504822731,0.09281527996063232,2,453.6641845703125,1
189,0.1517562717199325,0.1670723855495453,99,4239.32470703125,0
190,0.1745799034833908,0.24409672617912292,99,746.2578735351562,3
191,0.1905458718538284,1510.4912109375,96,10678.564453125,0
192,0.1883423924446106,748.36181640625,99,23699.55078125,0
193,0.0527558997273445,0.07899001985788345,10,237.805908203125,4
194,0.0859217047691345,14055.513671875,99,30837.8515625,0
195,0.1040229275822639,0.10509996116161346,99,1524.3079833984375,0
196,0.1421995759010315,0.21667522192001343,2,440.5802001953125,3
197,0.1933963745832443,0.4875510036945343,11,1833.670654296875,0
198,0.1095775961875915,0.11726418137550354,99,1345.463134765625,1
199,0.1157599538564682,0.10080467164516449,13,17377.03125,0
200,0.1111643612384796,479.03607177734375,99,1699.417236328125,0
201,0.123956486582756,84.75366973876953,98,670.7717895507812,1
202,0.1200631186366081,0.15748250484466553,10,39.24229049682617,1
203,0.0461706183850765,0.10778864473104477,99,528.818115234375,5
204,0.1761248111724853,0.25256460905075073,13,747.5647583007812,3
205,0.07123264670372,0.12498560547828674,99,177.11737060546875,3
206,0.1499748826026916,2659.099609375,91,24960.326171875,0
207,0.0728680714964866,0.11023453623056412,10,10.430866241455078,9
