i,costIPOPT,minNetCost,minNetCostIndex,maxNetCost,maxNetCostIndex
99,0.1483083367347717,154872.15625,0,inf,18
100,0.0957624018192291,58860.8125,0,inf,21
101,0.1472674906253814,327.08868408203125,9,inf,41
102,0.0923650190234184,209678.671875,0,inf,19
103,0.1588194519281387,307.0926818847656,0,inf,25
104,0.1358530223369598,7769.1337890625,0,inf,20
105,0.0619836412370204,104158.109375,9,inf,37
106,0.1374203562736511,114.3026351928711,8,inf,64
107,0.196114495396614,113922.71875,0,inf,38
108,0.1233260631561279,133999.34375,0,inf,22
109,0.130410298705101,0.7829176783561707,8,inf,40
110,0.1855191737413406,0.2663115859031677,8,inf,24
111,0.1297142505645752,0.23827211558818817,10,inf,56
112,0.191667839884758,0.4131505489349365,40,inf,53
113,0.1765297502279281,722.3831787109375,0,inf,21
114,0.1694474965333938,8958.689453125,0,inf,17
115,0.184136763215065,27913.87109375,1,inf,25
116,0.1219256445765495,62817.1328125,0,inf,16
117,0.1492499262094497,0.13033798336982727,99,3.417022943496704,0
118,0.0467896088957786,0.07297997176647186,31,inf,44
119,0.0589327663183212,2086.136474609375,0,inf,22
120,0.1901444196701049,110604.078125,0,inf,26
121,0.0832053273916244,0.8930878043174744,8,inf,52
122,0.1418377459049224,14044.759765625,0,inf,19
123,0.1825077533721923,0.22627569735050201,99,13232.8173828125,7
124,0.1336354315280914,110831.1015625,0,inf,17
125,0.0261991173028945,4084.4833984375,0,inf,17
126,0.1050913706421852,0.1066451147198677,99,0.497477263212204,0
127,0.1870778650045395,126158.9140625,1,inf,38
128,0.1702887266874313,233.01426696777344,0,inf,23
129,0.1234476044774055,290292.25,0,inf,15
130,0.1440692543983459,116654.3515625,0,inf,38
131,0.1027601063251495,1.446660041809082,9,1.6659075408330752e+16,93
132,0.1768907010555267,78.16032409667969,0,inf,22
133,0.1995205581188202,0.22615724802017212,99,4722438.0,6
134,0.0932443812489509,0.10139752179384232,99,0.37801650166511536,0
135,0.180120438337326,8735.8642578125,0,inf,23
136,0.1477845162153244,6751.693359375,0,inf,18
137,0.106977567076683,107599.203125,0,inf,22
138,0.1530208140611648,16797.78515625,0,inf,49
139,0.1078793406486511,380.15228271484375,0,inf,15
140,0.1079427227377891,0.11196806281805038,99,0.3618646562099457,0
141,0.1785387098789215,93143.171875,0,inf,20
142,0.0225236341357231,0.011597258038818836,99,2627264577536.0,17
143,0.1137926653027534,132.1339569091797,0,inf,39
144,0.1488271504640579,18062.59765625,0,inf,24
145,0.106815792620182,1.283331274986267,8,inf,18
146,0.1339987516403198,0.15113015472888947,99,4.055387496948242,0
147,0.1215221285820007,0.3929184675216675,8,2.5097194717577216e+16,95
148,0.1360723227262497,0.13706782460212708,99,4843171840.0,9
149,0.1799643635749817,106279.90625,1,inf,31
150,0.128572791814804,3643.76171875,0,inf,20
151,0.1220810487866401,6719.54248046875,0,inf,20
152,0.167714387178421,1045.0404052734375,0,inf,19
153,0.0468793995678424,4679.9765625,0,inf,46
154,0.1182361245155334,0.12955035269260406,99,0.8474664688110352,0
155,0.0914167836308479,5.353283405303955,0,inf,21
156,0.1414430439472198,148375.140625,0,inf,37
157,0.0596974454820156,0.06521370261907578,99,0.3413204550743103,0
158,0.1099025830626487,0.12189705669879913,99,2.0436856746673584,0
159,0.1215293407440185,32387.857421875,0,inf,16
160,0.1421623826026916,12870.564453125,0,inf,17
161,0.0640964806079864,162.18954467773438,0,inf,20
162,0.1550046652555465,912.24072265625,0,inf,42
163,0.1237072125077247,1272.1402587890625,0,inf,20
164,0.162519633769989,54258.64453125,0,3.572378562147123e+17,98
165,0.160942792892456,1301.29541015625,0,inf,43
166,0.0325346924364566,104.9835433959961,10,inf,42
167,0.1806092709302902,0.19586196541786194,99,3804706897920.0,6
168,0.175561711192131,497959.65625,0,inf,22
169,0.1467531621456146,0.15409372746944427,99,0.22450895607471466,0
170,0.1682815998792648,0.19208021461963654,99,58.334903717041016,6
171,0.044765681028366,40955.125,0,inf,17
172,0.1936251819133758,0.2182062715291977,99,33.00962829589844,5
173,0.1155266687273979,0.5840616822242737,8,inf,25
174,0.1079589053988456,45.998512268066406,0,inf,26
175,0.0710462108254432,0.07447323203086853,32,inf,44
176,0.1170407682657241,41317.87109375,0,inf,17
177,0.1301359087228775,0.14016415178775787,99,0.8124549388885498,0
178,0.1710227280855178,0.19585298001766205,99,1.2294793128967285,0
179,0.1162944659590721,0.3706078827381134,8,inf,51
180,0.089437298476696,0.09379599988460541,99,0.34677356481552124,0
181,0.1959425956010818,28459.107421875,0,inf,15
182,0.1234918981790542,66.02410125732422,8,inf,50
183,0.1520817130804062,14142.02734375,0,inf,46
184,0.1008728593587875,0.10425829142332077,99,0.3134000301361084,0
185,0.192666471004486,0.36964476108551025,9,inf,78
186,0.1354819387197494,42.95893096923828,0,inf,16
187,0.1391838937997818,0.14597973227500916,99,0.1772690713405609,0
188,0.0822780504822731,102.59495544433594,0,inf,16
189,0.1517562717199325,4239.32470703125,0,inf,38
190,0.1745799034833908,575.9647827148438,0,inf,21
191,0.1905458718538284,10678.564453125,0,inf,21
192,0.1883423924446106,23699.55078125,0,inf,22
193,0.0527558997273445,0.05825376510620117,47,inf,59
194,0.0859217047691345,30837.8515625,0,inf,15
195,0.1040229275822639,1524.3079833984375,0,inf,16
196,0.1421995759010315,0.1459530144929886,99,351971737600.0,6
