i,minNetCost,minNetCostIndex,firstIndexThatBeatIPOPT
178,0.16783830523490906,85,29
179,0.0635569840669632,96,0
180,0.08202752470970154,93,17
181,0.15841902792453766,84,14
182,0.11309021711349487,97,9
183,2.7412526607513428,81,-1
184,0.09703385829925537,95,50
185,0.18457914888858795,79,12
186,0.13481859862804413,93,48
187,0.13875609636306763,92,49
188,0.08106878399848938,99,40
189,0.14306063950061798,95,14
190,0.1686760038137436,88,29
191,2.2787420749664307,75,-1
192,1.300370454788208,80,-1
193,0.05161808431148529,99,24
194,14.664523124694824,76,-1
195,0.09493071585893631,75,15
196,0.12984377145767212,71,14
197,0.13929691910743713,88,13
198,0.10822561383247375,95,36
199,0.07904470711946487,89,0
200,0.8209712505340576,73,-1
201,0.26294463872909546,72,-1
202,0.11743878573179245,91,38
203,0.04022772237658501,97,28
204,0.14567308127880096,96,10
205,0.057623282074928284,75,18
206,3.1933846473693848,99,-1
207,0.06324698776006699,87,20
208,0.11465180665254593,91,20
209,0.1408771127462387,99,41
210,0.08799897134304047,91,24
211,0.0849156528711319,93,29
212,0.09054355323314667,79,16
213,0.14609411358833313,85,16
214,0.027494089677929878,95,10
215,2.718280553817749,72,-1
216,0.726311445236206,84,-1
217,0.13175885379314423,98,-1
218,0.1835000067949295,63,22
219,0.17074720561504364,99,17
220,0.3974460959434509,85,-1
221,0.1465279459953308,99,14
222,0.10019104182720184,85,15
223,0.07686033099889755,90,11
224,0.052723515778779984,99,28
225,0.14197801053524017,72,-1
226,0.09658347070217133,98,23
227,0.17709730565547943,80,11
228,1.1666758060455322,50,-1
229,0.125474750995636,81,14
230,4.125439643859863,65,-1
231,0.08563028275966644,78,0
232,0.1642744094133377,99,15
233,0.052466802299022675,92,14
234,1.6248080730438232,96,-1
235,0.10227901488542557,84,13
236,0.08676911145448685,94,18
237,0.820885181427002,80,-1
238,0.057530295103788376,87,11
239,5.514237880706787,78,-1
240,2.0887184143066406,77,-1
241,0.023036673665046692,93,0
242,8.292966842651367,77,-1
243,3.7613959312438965,61,-1
244,0.17816613614559174,97,17
245,5.374191761016846,62,-1
246,0.5834286212921143,99,-1
247,0.09942717850208282,96,14
248,0.37364518642425537,85,-1
249,0.13632166385650635,99,31
250,1.2431102991104126,71,-1
251,0.6769301295280457,75,-1
252,0.10193703323602676,92,14
253,0.1288141906261444,99,15
254,3.72967267036438,94,-1
255,0.13842111825942993,73,30
256,0.7428870797157288,66,-1
257,2.4117162227630615,85,-1
