i,costZeroBoundary,costArrayBoundary
93,2881.576416015625,0.09860469400882721
94,104.0842514038086,0.025049850344657898
95,17519.052734375,1554.24462890625
96,12756.8271484375,25009.6875
97,62.94639205932617,0.030969353392720222
98,0.8419094681739807,0.24560000002384186
99,154872.15625,4064.0
100,58860.8125,0.09798043966293335
101,24673.515625,518.1600952148438
102,209678.671875,46362.98828125
103,307.0926818847656,0.2283911257982254
104,7769.1337890625,12436.087890625
105,179019.25,4591.1416015625
106,11448.4013671875,0.1215263307094574
107,113922.71875,1580.9246826171875
108,133999.34375,777.191650390625
109,1348.802978515625,0.15301115810871124
110,100.00835418701172,0.20424918830394745
111,1853.9735107421875,0.2878957986831665
112,11.344246864318848,0.24194423854351044
113,722.3831787109375,41.857303619384766
114,8958.689453125,13840.5498046875
115,33583.05078125,0.21453997492790222
116,62817.1328125,0.19375121593475342
117,3.417022943496704,0.17133724689483643
118,0.5047513842582703,17.312389373779297
119,2086.136474609375,0.17133283615112305
120,110604.078125,0.19701358675956726
121,2775.731689453125,0.08067282289266586
122,14044.759765625,24046.02734375
123,34.99618911743164,0.2012726366519928
124,110831.1015625,2.097733736038208
125,4084.4833984375,0.04525106027722359
126,0.497477263212204,0.12539716064929962
127,193624.734375,0.17053431272506714
128,233.01426696777344,2854.182861328125
129,290292.25,10286.28515625
130,116654.3515625,143.5877227783203
131,7968.943359375,0.08871614933013916
132,78.16032409667969,150.9355926513672
133,28.583240509033203,997.5220947265625
134,0.37801650166511536,0.11068225651979446
135,8735.8642578125,15402.3798828125
136,6751.693359375,11480.138671875
137,107599.203125,0.11590469628572464
138,16797.78515625,22071.71484375
139,380.15228271484375,485.16748046875
140,0.3618646562099457,0.13942143321037292
141,93143.171875,32824.90625
142,5.535871982574463,0.019146982580423355
143,132.1339569091797,0.11385591328144073
144,18062.59765625,0.11441777646541595
145,6.052186489105225,356.8143310546875
146,4.055387496948242,6.029590606689453
147,177046.734375,0.1224059909582138
148,4965.9521484375,0.12818308174610138
149,177320.28125,0.25033289194107056
150,3643.76171875,887.6292114257812
151,6719.54248046875,12733.3251953125
152,1045.0404052734375,0.17709599435329437
153,4679.9765625,1.294845461845398
154,0.8474664688110352,1044.18701171875
155,5.353283405303955,0.10031714290380478
156,148375.140625,23933.7734375
157,0.3413204550743103,0.1570446938276291
158,2.0436856746673584,0.12116789817810059
159,32387.857421875,0.21293339133262634
160,12870.564453125,19758.4609375
161,162.18954467773438,69.67000579833984
162,912.24072265625,150.64178466796875
163,1272.1402587890625,4085.7421875
164,54258.64453125,8674.517578125
165,1301.29541015625,12728.8681640625
166,5095.16796875,0.12077093869447708
167,53.56515884399414,0.2245282083749771
168,497959.65625,30163.58203125
169,0.22450895607471466,1.4222090244293213
170,34.68416976928711,0.21171753108501434
171,40955.125,19967.158203125
172,5.304713726043701,986.1970825195312
173,0.9313072562217712,93.38288879394531
174,45.998512268066406,0.11572819203138351
175,0.22952663898468018,0.08911678194999695
176,41317.87109375,23087.322265625
177,0.8124549388885498,115.87457275390625
178,1.2294793128967285,0.27579474449157715
179,2526.451904296875,0.1158294826745987
180,0.34677356481552124,0.09878280013799667
181,28459.107421875,725.8349609375
182,1675.6470947265625,0.15520255267620087
183,14142.02734375,24469.07421875
184,0.3134000301361084,0.11629613488912582
185,471.078125,0.22130724787712097
186,42.95893096923828,268.0496520996094
187,0.1772690713405609,181.93905639648438
188,102.59495544433594,0.10275183618068695
189,4239.32470703125,35.14654541015625
190,575.9647827148438,283.8185729980469
191,10678.564453125,14640.4345703125
192,23699.55078125,13349.1044921875
193,0.26998263597488403,0.07851885259151459
194,30837.8515625,45539.90625
195,1524.3079833984375,0.6516216993331909
196,10.043519973754883,0.3380674123764038
197,1833.670654296875,0.326092392206192
198,181.1337127685547,0.117536261677742
199,17377.03125,0.10167495161294937
200,1699.417236328125,6424.27685546875
201,133.1267852783203,1103.4898681640625
202,0.22581538558006287,0.15642186999320984
203,51.79816436767578,0.0794670581817627
204,491.4258117675781,0.2125641107559204
205,2.918323278427124,44.74867248535156
206,24960.326171875,13363.36328125
207,1.6000295877456665,0.17960764467716217
208,2.293264865875244,0.25837576389312744
209,0.181024432182312,112.041015625
210,193.90164184570312,0.10210840404033661
211,0.45473504066467285,34.175052642822266
212,295.2799377441406,723.20751953125
213,38813.0234375,27.510709762573242
214,3.3166606426239014,0.054333366453647614
215,11438.2265625,22692.8203125
216,1875.63916015625,4906.88916015625
217,0.1559375524520874,507.7705078125
218,2115.83837890625,1461.12939453125
219,3624.868408203125,0.21451003849506378
220,4510.978515625,2940.213134765625
221,112676.953125,0.17223218083381653
222,11090.4931640625,0.12735885381698608
223,7.8779826164245605,0.11074898391962051
224,31174.22265625,39.7757453918457
225,0.17873309552669525,434.89837646484375
226,2309.8427734375,0.11833703517913818
227,2.6092488765716553,0.29861411452293396
228,22531.736328125,11151.8515625
229,1873.623046875,0.2760004699230194
230,11174.6318359375,37640.13671875
231,4780.36669921875,0.15885478258132935
232,11.749005317687988,0.20404459536075592
233,0.3629909157752991,0.10243595391511917
234,23823.2265625,6327.52880859375
235,2.71924090385437,0.18412424623966217
236,0.3097989559173584,0.1091320812702179
237,1759.588134765625,6219.24609375
238,736.5232543945312,1.5231523513793945
239,14074.279296875,40658.515625
240,12495.626953125,16498.7734375
241,1951.3970947265625,0.03628743439912796
242,100071.3828125,33901.2421875
243,17478.5546875,27184.39453125
244,1179.1710205078125,0.2267238199710846
245,23356.57421875,35505.55859375
246,16455.970703125,2611.111572265625
247,42419.34765625,0.13620828092098236
248,5625.41455078125,1443.4892578125
249,1.0133568048477173,0.18637420237064362
250,6284.7373046875,8856.6103515625
251,1378.2904052734375,4224.322265625
252,1588.904541015625,0.42403751611709595
253,1.0310242176055908,0.28502047061920166
254,16671.310546875,22167.439453125
255,0.18475696444511414,731.1981201171875
256,4343.9052734375,5048.84765625
257,5774.71875,10656.7841796875
258,8309.603515625,22437.42578125
259,49833.3984375,4242.45703125
260,14.655210494995117,0.1607389748096466
261,0.30016785860061646,954.50537109375
262,4145.2939453125,6551.88134765625
263,102.40142822265625,0.1236814334988594
264,5.694082736968994,0.35686272382736206
265,25811.42578125,0.12441616505384445
266,237076.71875,33256.703125
267,4.614124298095703,0.16717447340488434
268,137729.40625,441.8272399902344
269,86888.5546875,396.8415222167969
270,0.42228302359580994,0.22944055497646332
271,98774.9921875,39262.9765625
272,71895.0078125,41546.56640625
273,0.715724527835846,369.0184020996094
274,0.32923197746276855,0.08041223138570786
275,11846.89453125,23814.912109375
276,547.9995727539062,0.19739249348640442
277,37000.98046875,0.11140087246894836
278,1.4539848566055298,0.2197784036397934
279,25094.80859375,38971.56640625
280,8.479203224182129,0.054765257984399796
281,662.6951904296875,220.61309814453125
282,127.30223846435547,0.07291625440120697
283,780.04150390625,0.4674931764602661
284,33762.1328125,23924.248046875
285,0.166990265250206,31.139890670776367
286,1.378667950630188,0.11504264175891876
287,13523.0380859375,0.10673943907022476
288,465.917724609375,0.40686509013175964
289,3.280344009399414,0.19890278577804565
290,5339.33544921875,0.10582652688026428
291,16139.58984375,20774.005859375
292,270.92578125,0.16348831355571747
293,7.274142742156982,0.17959856986999512
294,5698.82373046875,6307.74267578125
295,234.35760498046875,0.1519869714975357
296,16606.240234375,27068.2890625
297,0.6178956031799316,0.22576972842216492
298,85714.65625,0.08481913059949875
299,189141.25,0.11226283758878708
300,1530.81689453125,8.054167747497559
301,79.35948944091797,0.10716443508863449
302,1.0255759954452515,0.24094612896442413
303,16658.408203125,0.11715084314346313
304,1664.2232666015625,4013.13720703125
305,75311.5546875,23967.552734375
306,16654.76171875,0.08510638773441315
